Major,Description,Keywords,Career Options,Related Majors
"Health Sciences, Interdisciplinary","In this major, you’ll form a better understanding of health from perspectives related to individual lifestyle, family, community, and culture.You will have a large number of free elective credits that will allow you to craft a class schedule that best fits your post-graduate interests. This program prepares you for a wide range of applied health careers, graduate studies, and pre-professional studies.You’ll choose from one of four concentrations: Health and AgingHealth Behavior ChangeHealth DiversityHealth Technology","post, wide, professional, schedule, individual, number, choose, graduate, allow, major, community, changehealth, prepares, best, lifestyle, studies, range, class, family, diversityhealth, behavior, pre, perspectives, understanding, health, applied, elective, interests, concentrations, technology, large, form, free, credits, craft, fits, program, careers, better, related, aginghealth","Dentistry, Health Communications, Health Law, Health Policy, Healthcare Administration, Medicine, Nonprofit Work, Nursing, Occupational Therapy, Ophthalmology, Physical Therapy, Physician Assistant, Public Health","Chemistry - LAS, Community Health - AHS, Integrative Biology - LAS, Kinesiology - AHS, Molecular and Cellular Biology - LAS"
History of Art,"Illinois offers two distinct majors related to art history. The History of Art major in LAS, which results in a Bachelor of Arts degree, focuses on liberal arts courses, including literature and history. You’ll analyze and interpret visual cultures, both past and present, from around the globe. You'll learn skills that will help you in understanding a world based on visual communication. You’ll examine art, artifacts, and environments produced by contemporary and historical societies. You'll learn skills to appropriately research, write, and speak about your findings.","past, interpret, degree, present, history, write, globe, major, findings, communication, illinois, including, analyze, cultures, research, visual, world, results, liberal, speak, offers, art, learn, bachelor, artifacts, based, historical, appropriately, distinct, societies, majors, arts, skills, focuses, produced, help, environments, contemporary, las, examine, understanding, related, courses, literature","Art conservation, Art history, Design theory, Education, Museum work, Research","Anthropology - LAS, Art and Art History  - FAA, Art Education (K-12) - FAA, History - LAS"
Hospitality Management,"Hospitality Management blends business principles, biological and social sciences. These studies will prepare you for a career in the hospitality industry. Classes will teach you basic marketing and business skills, and how to analyze employee performance. You'll study how to plan, produce, and serve meals in a safe and efficient manner. You’ll also learn how to manage institutional, commercial catering and fine-dining facilities. You will have the opportunity to develop your skills through real-world experience at our own Bevier Café and Spice Box.","produce, management, manage, prepare, bevier, hospitality, classes, teach, facilities, safe, business, studies, analyze, commercial, institutional, spice, world, industry, social, study, basic, catering, meals, principles, serve, blends, learn, sciences, fine, café, dining, opportunity, career, biological, skills, plan, manner, marketing, box, employee, performance, develop, experience, real, efficient","Catering, Event planning, Food service, Restaurant management","Dietetics and Nutrition - ACES, Food Science - ACES, Nutrition and Health - ACES, Recreation, Sport and Tourism - AHS"
Human Development and Family Studies,"This major prepares you to address real-world problems in communities across the globe. Through innovative research and outreach programs, you can improve the lives of children, adolescents, adults, and families. You’ll also help faculty in research projects, practicums, and internships.You can choose between two concentrations:Child and Adolescent DevelopmentFamily StudiesChild and Adolescent Development explores the development of children and adolescents. This includes emotional, social, physical, and cognitive development. You'll learn how biology and society influence the health and well-being of children and youth.Family Studies teaches you how families and romantic partnerships function, develop, and change in response to the challenges of modern life. You'll learn the latest research and theories on dating, marriage, divorce, diverse families, and resilience.","address, adults, adolescents, teaches, response, problems, choose, globe, innovative, major, modern, diverse, projects, marriage, children, development, prepares, biology, studieschild, studies, romantic, life, families, latest, adolescent, improve, lives, research, partnerships, world, physical, faculty, social, communities, health, developmentfamily, influence, learn, practicums, society, concentrations, theories, change, child, resilience, function, outreach, challenges, help, cognitive, programs, emotional, develop, dating, real, divorce, includes, explores","Child, Family, & Community Services, Child Life Specialist, Clinical Psychology, Counseling, Education, Human Resources, Law, Occupational Therapy, Research, Pediatrics, Physical Therapy, Public Health, Social Work","Community Health - AHS, Early Childhood Education (Birth-Grade 2) - EDU, Gender and Women's Studies - LAS, Psychology - LAS, Sociology - LAS"
Industrial Design,"This major centers on answering the question, “Why do products look the way they do?” As an Industrial Design student, you’ll create products, interfaces, and experiences that meet people’s needs. You'll have the opportunity to design a range of items, from toys, sports, and houseware to medical or pet products. Through your coursework, you’ll get involved with debates, theories, and histories of industrial design. You'll also experience the importance of personal discovery and problem-solving through experiential assignments. You must submit a portfolio before being accepted into this program.","importance, personal, create, design, major, meet, discovery, way, toys, sports, solving, submit, products, interfaces, needs, range, experiential, answering, medical, coursework, question, centers, houseware, look, theories, opportunity, involved, problem, pet, people, student, histories, portfolio, items, industrial, accepted, experience, experiences, debates, program, assignments","Digital design, Environmental design, Furniture design, Lighting design, Multimedia design, Product design, Toy design","Graphic Design - FAA, Industrial Engineering - ENG, Mechanical Engineering - ENG"
Industrial Engineering,"Industrial Engineering solves problems through the integration of engineering and business principles. Industrial systems engineers work to improve performance and productivity using problem solving. This major creates leaders who often serve as a link between engineering and management. Upon graduation, you will know how to manage budgets and projects. This major may be for you if you’re interested in:Streamlining processesEvaluating and reducing strain on workers and the environmentSaving companies moneyEliminating waste of time, money, materials, energy, and other commodities","processesevaluating, manage, management, problems, graduation, strain, systems, major, projects, commodities, business, solving, money, link, improve, integration, waste, workers, reducing, work, principles, serve, companies, engineers, interested, creates, engineering, problem, know, streamlining, time, environmentsaving, materials, leaders, energy, moneyeliminating, performance, industrial, productivity, solves, budgets","Automotive, control systems, & manufacturing, Business systems integration & consulting, Communication & computer systems, Construction, Engineering administration, Marketing & product testing, Operations & quality control, Robotics","Materials Science and Engineering - ENG, Operations Management - BUS, Supply Chain Management - BUS, Systems Engineering and Design  - ENG"
Information Sciences,"Information Science focuses on how people use technology to better organize, analyze, and manage information, as well as how society and individuals relate to information. In our program, you’ll learn programming, database concepts, and research methods. You’ll also explore broader social issues such as information equity and ethics. Our program will prepare you to become a specialist in the information sciences who understands the human perspective, social context, and policy implications of information in society.","use, manage, prepare, database, equity, implications, programming, explore, analyze, ethics, research, social, policy, organize, learn, sciences, perspective, methods, information, society, individuals, understands, science, technology, broader, specialist, focuses, people, human, context, program, concepts, relate, better, issues","Content strategist, Data analyst, Database manager, Information governance analyst, Information technology analyst, Market research analyst, Product manager, Technology support specialist, User experience designer, Web content analyst","Communication - LAS, Information Systems - BUS, Learning and Education Studies - EDU, Media and Cinema Studies - COM, Psychology - LAS"
Information Sciences + Data Science,"Society is being transformed by the rise of digital technology and the emergence of massive data sets. Information Science and Data Science will teach you how to collect, organize, analyze, and store data in ways that help organizations manage processes and make decisions. Data Science is the art of extracting new knowledge and finding meaningful information in a huge sea of data. Information Science focuses on how people use technology to better organize, analyze, and manage information. It also focuses on how society and individuals relate to information. Our interdisciplinary curriculum combines information sciences, statistics, computer science, and math. This will prepare you for a successful career or graduate studies.","use, statistics, manage, extracting, new, store, prepare, collect, better, knowledge, graduate, curriculum, teach, computer, studies, analyze, sets, organizations, massive, organize, art, processes, sciences, decisions, information, finding, society, individuals, meaningful, technology, science, career, huge, data, focuses, people, transformed, interdisciplinary, help, emergence, ways, rise, sea, successful, relate, digital, combines, math","Data analyst, Market research analyst, Data scientist, Database administrator, Technology consultant, Data visualization engineer","Accountancy + Data Science - BUS, Astronomy + Data Science - LAS, Finance + Data Science - BUS, Information Sciences - SIS"
Information Systems,"In this major, you'll learn how to design platforms to support the information processing needs of an organization. You'll gain skills necessary to manage information, as well as information technology development. You'll also learn about systems analysis, e-business management, and electronic commerce.First-year students need to apply to Business Undeclared for admission consideration to Gies. They then can pursue the Information Systems degree if admitted.","manage, management, degree, e, design, systems, major, admission, development, business, processing, analysis, needs, gain, students, admitted, electronic, learn, apply, information, undeclared, consideration, technology, gies, need, support, necessary, pursue, skills, organization, platforms, year","Consultant, Consulting, Information systems management, Systems analysis","Computer Science - ENG, Information Sciences - SIS, Information Sciences + Data Science - SIS, Statistics - LAS, Systems Engineering and Design  - ENG"
Integrative Biology,"Integrative Biology (IB) is the study of living organisms through an integrative lens. It pulls concepts and skills from many disciplines to answer questions about how life works, from the level of the gene to the global ecosystem.As an IB student, you’ll delve into the study of life and research the interactions of (and in) biological systems. This major emphasizes a strong foundation in experimental design, communication skills, and critical thinking. Your coursework will include a great deal of experiential training. Many classes have a lab component. You’ll study topics like genetics, anatomy, physiology, behavior, ecology, and evolution.The IB curriculum provides the foundational knowledge and skills necessary for a wide variety of careers. This includes healthcare, research, conservation, and more. You can visit IB's ""alumni mentoring program profiles"" page to see what our graduates are doing with their degrees.If you're interested in this major, apply to our Biology program. You may choose IB as your major before your sophomore year. There is also an option for an IB Honors concentration. IB offers a Secondary Education option for the teaching of Biology in high schools.","topics, wide, gene, interactions, classes, major, emphasizes, alumni, lens, foundational, experimental, experiential, research, component, behavior, study, ecology, interested, training, strong, healthcare, anatomy, design, choose, life, communication, visit, include, offers, pulls, biological, variety, foundation, lab, global, schools, living, integrative, knowledge, curriculum, works, biology, level, deal, sophomore, physiology, profiles, honors, coursework, concentration, apply, great, thinking, necessary, student, page, answer, organisms, careers, disciplines, includes, graduates, delve, education, systems, mentoring, option, conservation, secondary, high, critical, skills, questions, teaching, provides, like, genetics, ib, year, program, concepts","Biotechnology & pharmaceuticals, Ecology, evolution, & conservation biology, Education, Entomology, Forensic science, Genetic counseling, Government (NIH, EPA, FBI, CDC, DOD), Healthcare (dentist, doctor, nurse, optometrist, physician assistant, public health), Plant biology, Pharmacy, Research, Science journalism, Science policy, Sustainability, Teaching, Veterinary medicine","Agricultural and Biological Engineering (ENG) - ENG, Biochemistry - LAS, Chemistry - LAS, Crop Sciences - ACES, Molecular and Cellular Biology - LAS"
Interdisciplinary Studies,"This major includes two concentrations: Jewish Studies and Medieval Studies. Jewish Studies will provide you with knowledge of the Hebrew language. You will have the opportunity to study Yiddish. This concentration will also expose you to an appreciation of Jewish religion, culture, and history. Medieval Studies will introduce you to medieval cultures across the world. You will learn about the history, ideas, beliefs, and values of the diverse cultures that comprised the medieval globe. If the topic you’re interested in isn’t part of this major, consider developing your own major through our Individual Plans of Study program.","individual, history, medieval, knowledge, globe, major, diverse, studies, introduce, cultures, plans, world, language, values, study, concentration, topic, learn, hebrew, ideas, concentrations, interested, developing, opportunity, culture, beliefs, comprised, consider, religion, appreciation, yiddish, expose, program, provide, jewish, includes","Academia, Anthropology, Foreign service, History, Law, Museum curation","Anthropology - LAS, Gender and Women's Studies - LAS, Psychology - LAS, Sociology - LAS"
Italian,"This major is the study of the Italian language as well as an analysis of Italian culture. You will study Mediterranean societies in a global context. You'll also have the opportunity to learn European tradition in relation to globalization. You’ll gain language and cultural skills that will allow you to explain the role of culture in economics, politics, and society. You’ll also have ample and diverse opportunities to study in Italy.","role, allow, major, diverse, italy, european, mediterranean, analysis, gain, globalization, opportunities, language, study, learn, politics, society, societies, opportunity, culture, economics, skills, relation, ample, cultural, tradition, context, global, italian, explain","Business, Education, Government, Hospitality, Law, Nonprofit work, Social services, Tourism, Translation","French - LAS, Linguistics - LAS, Public Policy & Law - ACES, Sociology - LAS, Spanish - LAS"
Journalism,"Journalism is the process of gathering, verifying, and sharing news across a wide variety of platforms. These platforms range from television, radio, and newspapers to websites and mobile devices. In this major, you'll learn the skills required to succeed as a journalist and the news media's role in democratic life. Our program places a heavy emphasis on real-world, hands-on experience. This includes working at campus and local news outlets and on special projects with faculty and fellow students.","fellow, wide, newspapers, role, process, working, major, sharing, devices, projects, special, media, life, gathering, television, required, range, mobile, democratic, students, world, faculty, hands, succeed, outlets, learn, local, radio, news, journalist, skills, campus, variety, emphasis, websites, verifying, platforms, experience, heavy, program, places, journalism, real, includes","Corporate communications, Editing & writing, Graphics & web design, Investigative reporting, Multimedia storytelling, Public relations, Political consulting, Speech writing, Sports reporting, Television & radio producing","Advertising - COM, Communication - LAS, Information Sciences - SIS, Media and Cinema Studies - COM, Political Science - LAS"
Kinesiology,"Kinesiology is the study of human movement. In this major, you’ll learn about exercise stress, movement efficiency, and fitness; coordination, control, and skill in physical activities; and physical growth, development, and body form throughout a lifetime. You’ll also study the instructional process of teaching or coaching and the social, cultural, and psychological aspects of participating in physical activities and sports. Finally, you’ll learn the effects of therapeutic techniques on those recovering from physical injuries. Gaining real-world experience through work and research, you’ll be prepared for careers in human movement-related fields or advanced professional or graduate study.","recovering, professional, gaining, effects, process, exercise, graduate, major, development, movement, coaching, participating, sports, finally, injuries, control, skill, research, physical, world, growth, techniques, social, study, body, lifetime, work, learn, activities, therapeutic, fitness, aspects, kinesiology, efficiency, form, cultural, prepared, teaching, psychological, fields, advanced, experience, careers, coordination, real, human, stress, related, instructional","Athletic training, Coaching, Exercise physiology, Medical doctor, Occupational therapy, Personal training, Physical education, Physical therapy, Sports psychology","Community Health - AHS, Health Sciences, Interdisciplinary  - AHS, Molecular and Cellular Biology - LAS, Recreation, Sport and Tourism - AHS"
Landscape Architecture,"Landscape Architecture is the design of all spaces beyond buildings. Our program will teach you about the specialties of this profession and how to succeed as the scope of the field continues to grow. With this major, you will study Landscape Architecture from two perspectives. Through one lens, you’ll explore the impact of human activity on the environment. Through another, you’ll study the influence of natural and historic factors on settlements, behavior, and well-being.","natural, field, design, major, factors, teach, lens, architecture, landscape, explore, settlements, behavior, study, succeed, perspectives, profession, continues, influence, scope, buildings, environment, historic, grow, spaces, specialties, program, impact, human, activity","Civil engineering, Drafting, Environmental planning, Industrial design, Landscape architecture, Landscape design, Park & recreational planning, Real estate development, Urban planning","Architectural Studies - FAA, Civil Engineering - ENG, Earth, Society, and Environmental Sustainability - LAS, Natural Resources and Environmental Sciences - ACES, Urban Studies and Planning - FAA"
LAS Undeclared,"If you’re interested in the liberal arts and sciences but aren’t sure which path you want to take, this program is for you! You’ll work with staff to select the right coursework based on your interests. You can explore various majors within the College of LAS with the purpose of later declaring one.","purpose, explore, later, coursework, liberal, work, right, sure, sciences, based, interested, interests, majors, college, arts, want, staff, path, declaring, select, program, las",No career options listed.,Undeclared - DES
Latin American Studies,"In this major, you’ll have the opportunity to explore Latin America. Our program provides in-depth, integrative coursework that spans across multiple perspectives. Students use both historical and humanistic lenses to study the society, politics, and economics of the area. Anthropology, ecology, and geography are also examined. You will also gain command of a Latin American language. Possibilities include Spanish, Portuguese, Quechua, or another Native language indigenous to Middle or South America. On top of everything, you will develop critical thinking, research, and writing skills.","integrative, use, american, america, major, possibilities, quechua, explore, gain, include, research, students, anthropology, depth, language, coursework, multiple, perspectives, study, latin, command, politics, historical, society, area, ecology, critical, opportunity, thinking, writing, examined, economics, native, skills, middle, spanish, south, provides, lenses, indigenous, develop, geography, spans, program, humanistic, portuguese","Arts, Business, Education, Government, Nonprofit work, Tourism","Anthropology - LAS, Latina/Latino Studies - LAS, Portuguese - LAS, Sociology - LAS, Spanish - LAS"
Latina/Latino Studies,"This interdisciplinary major is devoted to the study of Latin American origin populations in the United States. We offer a variety of courses in which students critically explore various facets of Latina/o social, political, and cultural life. Latina/o Studies faculty are trained in diverse disciplines. These include anthropology, sociology, history, media studies, literature, performance studies, public health, and ethnic studies. They are excellent teachers and scholars deeply committed to working with undergraduates. Our goal is to provide students with the skills and knowledge they need to be active and successful participants in our multi-racial, multi-cultural democracy.","populations, offer, excellent, racial, history, american, ethnic, united, scholars, committed, working, knowledge, major, diverse, goal, life, devoted, media, sociology, studies, multi, democracy, explore, critically, include, political, students, latina, anthropology, states, faculty, social, origin, study, teachers, participants, latin, public, health, o, deeply, trained, need, active, skills, interdisciplinary, cultural, undergraduates, variety, successful, performance, facets, provide, disciplines, courses, literature","Applied health, Bilingual/bicultural education, Business, Community activism, Community health, Higher education student affairs & administration, Government, Journalism, Law, Public policy, School guidance counseling, Social work","Gender and Women's Studies - LAS, History - LAS, Political Science - LAS, Sociology - LAS, Spanish - LAS"
Learning and Education Studies,"In our program, you will gain expertise needed for formal and informal educational settings without being required to become a licensed teacher. With a growing demand for leading knowledge workers, this degree is very valuable. You’ll choose one of three concentrations to focus on in your last two years:Educational Equality and Cultural UnderstandingEducational TechnologyWorkplace Training and Development","understandingeducational, degree, choose, informal, knowledge, demand, licensed, educational, development, needed, expertise, settings, required, gain, focus, workers, technologyworkplace, teacher, concentrations, formal, equality, training, growing, cultural, valuable, leading, program, years","Business & government, Human resources, Instructional services, International education, Private & alternative education, Training & development","African American Studies - LAS, Latina/Latino Studies - LAS, Management - BUS, Psychology - LAS, Statistics and Computer Science - LAS"
Lighting Design and Technology,"This program is a concentration within Theatre. Lighting designers help set the mood on the stage. They are responsible for planning and executing the way light is used in the theater. Our program includes a genuine mentorship and incorporates different types of learning. Classroom lectures and training will combine with many hours of hands-on opportunities. You will gain experience working with the latest technology in lighting systems for all kinds of shows and venues. You can apply directly into this concentration, although you must submit a portfolio before being accepted.","combine, designers, genuine, mentorship, working, shows, systems, classroom, responsible, set, way, latest, submit, gain, opportunities, hands, incorporates, concentration, executing, apply, mood, lighting, learning, training, technology, directly, help, stage, theater, kinds, planning, types, light, lectures, portfolio, accepted, hours, experience, venues, program, theatre, different, includes","Followspot operation, Light board programming, Lighting design, Projection design","Scenic Design - FAA, Scenic Technology - FAA, Sound Design and Technology - FAA, Stage Management - FAA"
Linguistics,"Linguistics studies the structure, use, and development of languages over time. Our program provides a solid background in all the core areas of theoretical linguistics. As a Linguistics student, you will become competent in at least two languages. You'll also gain knowledge in linguistic areas of psychology, sociology, and anthropology. You will study speech and hearing science, computer science, and more. In this major, your coursework will build skills in analytical reasoning and argumentation. Classes will also enhance your writing and observational skills. Students may gain additional training by combining this major with certificate programs. Possibilities include:Teaching English as a Second LanguageTranslation StudiesGlobal Security","use, competent, second, knowledge, background, classes, major, reasoning, solid, development, speech, sociology, studies, computer, combining, possibilities, gain, include, psychology, languagetranslation, argumentation, enhance, students, anthropology, coursework, study, analytical, studiesglobal, linguistics, theoretical, security, core, science, build, training, writing, english, languages, skills, certificate, student, time, hearing, programs, linguistic, teaching, structure, provides, observational, program, areas, additional","Business, Computational linguistics, Education, Forensic linguistics, Government, Lexicography, Nonprofit work, Publishing, Translation","Computer Science and Linguistics - LAS, French - LAS, Italian - LAS, Latin American Studies - LAS, Spanish - LAS"
Linguistics and Teaching English as a Second Language,"Linguistics and Teaching English as a Second Language (Linguistics + TESL) studies an overarching question: How do speakers of different languages learn, use, teach, and assess English as a second language (ESL)? Linguistics + TESL is an interdisciplinary program for students who plan to pursue careers in areas related to English as second and foreign language education. As a Linguistics + TESL major, you'll gain a solid background in both general linguistics and educational linguistics. You'll learn subject knowledge from multiple disciplines that help understand linguistics principles and linguistic developmental trajectories. You'll also receive a practical training in ESL/EFL teaching, assessment, and material development.","use, second, developmental, education, knowledge, background, major, educational, teach, solid, trajectories, development, studies, gain, overarching, receive, students, language, assess, multiple, understand, speakers, question, principles, learn, linguistics, material, esl, general, training, english, pursue, languages, interdisciplinary, plan, help, subject, tesl, efl, teaching, linguistic, foreign, practical, program, careers, areas, different, disciplines, related, assessment","Language teaching, Language testing, Material development, Government, Publishing, Translation, Technical or professional communication","Elementary Education (Grades 1-6) - EDU, English - LAS, Global Studies - LAS, Psychology - LAS, Secondary Education - LAS"
Lyric Theatre,"Lyric Theatre is housed within our School of Music. This major combines vocal and acting training needed for the 21st century musical stage. Through our program, you'll take part in fully-staged musical and opera productions each year. You will learn how to use the body and voice in a healthy manner and how to sing many styles of music. Students choose between performance and creative concentrations. You can pick electives based on your professional interests. Students learn in a friendly, supportive environment. If you join our program, dedicated teachers and top industry professionals will instruct you. They will provide you with excellent career advice suited to your talents. With this major, you will gain opportunities to engage with the professional world.","use, sing, excellent, professional, housed, engage, friendly, school, choose, major, advice, electives, needed, productions, staged, gain, opportunities, opera, students, join, world, industry, music, teachers, body, learn, acting, century, supportive, based, dedicated, professionals, concentrations, interests, environment, vocal, instruct, suited, training, talents, career, styles, voice, manner, stage, lyric, creative, performance, pick, year, program, musical, theatre, fully, healthy, combines, provide","Arts administration, Choreography, Composition, Conducting, Musical theatre, Teaching, Theatre, Vocal performance","Acting - FAA, Dance (BFA) - FAA, Music - FAA, Music Education (K-12) - FAA, Music Instrumental Performance - FAA, Music Open Studies - FAA, Music Voice Performance - FAA"
Management,"This program will prepare you to be a leader and innovator. You'll learn to analyze and solve problems that every organization faces daily. Effective managers design organizations that can compete in complex and volatile business environments. They also execute their  strategies within these organizations. Our program focuses on  cultivating such managers. You'll learn to be an ethical leader and a competent decision-maker. You'll also learn how to create goals and long-term  plans, build effective teams, and motivate your employees.First-year students need to apply to Business Undeclared for admission consideration to Gies. They then can pursue the Management degree if admitted.","competent, management, maker, solve, degree, decision, prepare, create, problems, design, complex, execute, term, admission, volatile, business, ethical, teams, analyze, strategies, faces, plans, students, leader, organizations, admitted, innovator, effective, cultivating, learn, apply, managers, undeclared, consideration, build, gies, need, daily, pursue, long, focuses, goals, environments, organization, motivate, year, program, compete","Consulting, Project management, Human resources","Agribusiness, Markets & Management - ACES, Community Health - AHS, Operations Management - BUS, Recreation, Sport and Tourism - AHS"
Marketing,"Marketing encompasses business activities related to connecting consumers with goods. It includes the study of the consumer and how to use data to create business insights. In turn, this helps companies better target those consumers. You'll also learn how to manage customer relationships. Classroom experiences focus on current marketing  practices, including digital marketing and branding. They include in real-world examples and hands-on experience. You’ll gain skills in teamwork, analytical reasoning, and oral and written communication.First-year students need to apply to Business Undeclared for admission consideration to Gies. They then can pursue the Marketing degree if admitted.","use, goods, manage, degree, customer, create, branding, relationships, connecting, classroom, digital, reasoning, admission, examples, business, written, target, including, consumer, focus, gain, insights, include, students, world, practices, hands, admitted, consumers, encompasses, study, teamwork, turn, analytical, companies, oral, activities, learn, apply, undeclared, consideration, gies, need, pursue, data, skills, marketing, helps, current, experience, experiences, year, real, better, related, includes","Account executive, Communications, Consulting, Market research, Marketing management, Retail, Sales","Advertising - COM, Communication - LAS, Psychology - LAS, Recreation, Sport and Tourism - AHS"
Materials Science and Engineering,"Materials Science and Engineering is the manipulation and creation of materials to meet and exceed societal and technological needs.As a MatSE student, you’ll gain an understanding of the science of materials. Students take courses in biology, chemistry, computer science, and physics. You’ll be able to tailor your curriculum to match your interests.Industry-leading companies and vibrant start-ups rely on improved materials technologies. MatSE is a versatile discipline, and our graduates are in demand. Work may involvecomputational research with machine learning, understanding new medical therapies, creating protective coatings for hypersonic flight and space travel, manufacturing next-generation solar cells, building quantum computers, ordesigning safer and more sustainable batteries.Excited about the real-world application of biology, chemistry, computer science, physics, and more? Contact matse@illinois.edu for more information.","matse, flight, graduates, new, demand, curriculum, meet, contact, machine, solar, biology, computer, quantum, technological, sustainable, gain, application, coatings, research, students, medical, cells, involvecomputational, manipulation, physics, hypersonic, space, world, societal, start, therapies, technologies, ups, companies, versatile, work, match, able, travel, information, exceed, learning, generation, rely, science, ordesigning, engineering, tailor, improved, creating, discipline, manufacturing, computers, safer, vibrant, student, materials, chemistry, leading, protective, creation, real, understanding, courses, building","Research Scientist, Process Engineer, Quality Control Engineer, Failure Analysis, Project Manager","Bioengineering - ENG, Chemistry - LAS, Computer Engineering - ENG, Computer Science - ENG, Electrical Engineering - ENG"
Mathematics,"This major establishes a strong foundation in many areas of mathematics. Students will study algebra, geometry, topology, logic, analysis, probability, and differential equations. Subjects of study also include algebraic geometry, combinatorics, optimization, number theory, and applied mathematics. In this program, your coursework will strengthen your abstract thinking and quantitative reasoning. You will leave with both proof-based and applied math as a foundation for your future career. Students have the opportunity to specialize in:Applied mathematicsOperations researchTeaching (through our Secondary Education option)Graduate studies preparation","establishes, number, education, leave, major, reasoning, abstract, studies, analysis, future, geometry, differential, include, quantitative, students, optimization, mathematics, theory, coursework, study, specialize, preparation, strengthen, secondary, probability, based, applied, opportunity, topology, proof, career, thinking, logic, equations, mathematicsoperations, subjects, strong, algebraic, foundation, combinatorics, algebra, program, areas, researchteaching, math","Analytics, Consulting, Industry, Research, Teaching","Computer Science - ENG, Economics - LAS, Mathematics and Computer Science - LAS, Statistics - LAS"
Mathematics and Computer Science,"Mathematics gives you unique tools for solving problems. Computer science lets you translate ideas into action. In a world focused on science and technology, our program is a powerful combination. This major is designed for students who would like a strong foundation in computer science coupled with advanced coursework in mathematics. You’ll have the chance to work directly with faculty on their research. Students have a wide variety of opportunities, from analyzing the HIV capsid to pioneering virtual reality. Our program will prepare you for professional or graduate work. You will also be prepared for other applications in computer science and mathematics.","wide, professional, analyzing, prepare, problems, graduate, major, solving, computer, chance, designed, opportunities, research, students, reality, world, coupled, faculty, mathematics, coursework, work, translate, capsid, hiv, powerful, ideas, science, technology, directly, action, tools, unique, lets, combination, strong, prepared, variety, foundation, virtual, applications, like, advanced, program, pioneering, focused, gives","Computer science, Economics, Financial engineering, Information technology, Management, Mathematics, Statistics","Computer Science - ENG, Economics - LAS, Mathematics - LAS, Statistics - LAS"
Mechanical Engineering,"Mechanical Engineering is one the most diverse fields in engineering. This program applies mathematical, scientific, and engineering principles. Students study forces acting on bodies of solids or fluids as well as the resulting dynamic motion of those bodies. With these principles, we are able to design and control machines and systems. Examples include systems that apply loads, transport matter and energy, and convert one form of energy to another. If you’re interested in how the world around you moves and changes, this major might be for you.","dynamic, machines, changes, bodies, solids, design, systems, diverse, major, mathematical, resulting, motion, control, include, students, world, study, transport, principles, able, acting, apply, convert, interested, applies, loads, engineering, matter, scientific, forces, form, fluids, moves, energy, fields, program, mechanical, examples","Aerospace, Automotive work, Computer software & electronics, Defense & security, Environment, Health & biological work, Manufacturing, energy, & transportation, Research & development","Aerospace Engineering - ENG, Agricultural and Biological Engineering (ENG) - ENG, Civil Engineering - ENG, Engineering Mechanics - ENG, Industrial Engineering - ENG"
Biochemistry,"Biochemistry is an advanced field that encompasses the biological sciences, physics, and chemistry. You’ll develop a higher level of understanding of chemistry and physics and place these in a modern research context. Your coursework will also consist of molecular and cellular biology and chemistry courses. This major might be the right fit for you if you’re interested in a career in research or have advanced degree aspirations.","degree, field, modern, biochemistry, major, biology, level, fit, higher, research, consist, physics, coursework, encompasses, right, sciences, interested, career, aspirations, biological, place, chemistry, context, cellular, develop, advanced, molecular, understanding, courses","Biotechnology, Fine chemicals research, Food processing, Government research, Higher education, Industrial research, Pharmaceuticals, Medicine","Bioengineering - ENG, Chemical Engineering - LAS, Chemistry - LAS, Integrative Biology - LAS, Molecular and Cellular Biology - LAS"
Media and Cinema Studies,"Media and Cinema Studies will prepare you for careers in media, information, creative, and visual industries. Students in this major learn to interact with everyday media technologies. Our interdisciplinary curriculum emphasizes collaboration, creativity, and problem-solving. If you join our program, you'll learn how to navigate an ever-changing media landscape both today and in the future. You’ll be able to understand the media you consume as well as produce complex media of your own. You will also have the flexibility to design a path of study based on your own interests and goals.","produce, cinema, navigate, prepare, design, complex, major, curriculum, emphasizes, changing, creativity, landscape, media, collaboration, solving, studies, future, students, visual, join, study, understand, today, technologies, everyday, learn, able, information, based, interests, consume, problem, interdisciplinary, goals, path, creative, flexibility, careers, program, industries, interact","Advertising, Film, Market research, Marketing, Media, News, Production, Public relations, Screen writing, Script writing, Television, Videography","Advertising - COM, Journalism - COM, Sociology - LAS, Theatre Studies - FAA"
